league_name,2009/2010,2010,2010/2011,2011,2011/2012,2012,2012/2013,2013,2013/2014,2014,2014/2015,2015,2015/2016,2016,2016/2017,2017,2017/2018,2018,2018/2019,2019,2019/2020,2020,2020/2021,2021,2021/2022,2022,2022/2023,2023,2023/2024,2024,2024/2025,2025,2026
Hungary - Nemzeti Bajnokság I,25.42,,22.08,,25.83,,25.0,,26.25,,23.75,,24.75,,27.27,,27.27,,24.24,,22.22,,23.23,,26.77,,29.8,,19.7,,26.39,,
Iceland - Úrvalsdeild Karla,,23.48,,25.0,,21.97,,21.97,,25.76,,27.27,,21.97,,27.27,,27.27,,25.76,,28.04,,19.7,,28.79,,21.97,,21.97,,,
India - I League,,,,,,,,,33.33,,31.82,,31.94,,,30.0,25.56,,24.77,,28.74,,27.27,,28.21,,21.97,,23.38,,24.11,,
India - Indian Super League,,,,,,,,,,35.71,,21.43,,33.93,,,20.0,,31.11,,28.89,,38.18,,28.18,,14.55,,24.24,,24.36,,
Indonesia - ISC A,,,,,,,,,,,,,,24.92,,,,,,,,,,,,,,,,,,,
Indonesia - Premier League,,,22.86,,22.73,,,15.69,,,,,,,,,,,,,,,,,,,,,,,,,
Indonesia - Super Liga,,,,,,,,,,24.09,,,,,,21.57,,22.88,,29.08,,34.62,,30.07,,,21.9,,29.74,,26.86,,
Iran - Premier League,,,31.37,,34.97,,34.31,,36.25,,34.58,,34.58,,34.58,,32.5,,38.75,,35.83,,32.5,,37.08,,35.83,,31.67,,32.42,,
Ireland - First Division,,,,15.76,,16.96,,20.54,,29.46,,19.64,,16.07,,25.0,,22.22,,18.66,,16.67,,23.7,,24.31,,23.89,,30.0,,21.74,
Ireland - Play-off,,,,,,,,,,,,,,,,,,,,,,,,16.67,,33.33,,40.0,,0.0,,,
Ireland - Premier League,,27.22,,21.67,,29.09,,24.24,,25.25,,23.74,,21.32,,23.23,,15.56,,22.78,,21.11,,24.44,,26.67,,25.0,,30.0,,27.59,
Israel - Liga Leumit,,,,,,,,,30.0,,30.0,,30.0,,33.33,,25.83,,31.67,,27.92,,36.25,,36.67,,25.42,,27.92,,21.43,,
Israel - Ligat Al,29.17,,26.67,,27.92,,27.47,,25.27,,28.57,,26.37,,31.32,,24.73,,33.52,,24.18,,24.73,,26.37,,31.32,,26.37,,24.73,,
Israel - Play-off,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,,,
Italy - Coppa Italia,,,,,,,,,11.11,,0.0,,11.11,,16.67,,5.56,,16.67,,16.67,,0.0,,13.33,,8.89,,13.33,,20.0,,
