league_name,2009/2010,2010,2010/2011,2011,2011/2012,2012,2012/2013,2013,2013/2014,2014,2014/2015,2015,2015/2016,2016,2016/2017,2017,2017/2018,2018,2018/2019,2019,2019/2020,2020,2020/2021,2021,2021/2022,2022,2022/2023,2023,2023/2024,2024,2024/2025,2025,2026
Germany - 3. Liga,,,46.84,,46.05,,47.89,,46.05,,47.89,,46.05,,45.79,,50.53,,45.79,,57.37,,48.68,,49.12,,56.05,,51.84,,56.06,,
Germany - Bundesliga,54.9,,56.54,,55.56,,55.56,,61.11,,51.31,,55.88,,54.9,,51.96,,62.42,,65.03,,58.82,,58.5,,60.46,,62.42,,58.97,,
Germany - DFB-Pokal,,,,,,,,,53.13,,65.63,,59.38,,75.0,,81.25,,75.0,,68.75,,71.88,,69.84,,69.84,,73.02,,70.0,,
Germany - Oberliga,,,,,,,,,,,,,,,,,,,,,,,,,66.67,,66.67,,66.67,,,,
Germany - Oberliga Baden-Württemberg,,,,,,,,,,,,,,,,,,,,,63.24,,64.06,,67.63,,67.97,,64.71,,63.41,,
Germany - Oberliga Bayern,,,,,,,,,,,,,,,,,,,,,,,,,66.67,,61.11,,77.78,,,,
Germany - Oberliga Bayern Nord,,,,,,,,,,,,,,,,,,,,,60.5,,,,66.67,,68.63,,65.1,,53.57,,
Germany - Oberliga Bayern Süd,,,,,,,,,,,,,,,,,,,,,62.45,,,,54.97,,58.82,,57.84,,55.67,,
Germany - Oberliga Bremen,,,,,,,,,,,,,,,,,,,,,80.12,,79.41,,81.05,,80.42,,90.42,,86.13,,
Germany - Oberliga Hamburg,,,,,,,,,,,,,,,,,,,,,75.0,,67.92,,74.69,,71.05,,75.49,,76.52,,
Germany - Oberliga Hessen,,,,,,,,,,,,,,,,,,,,,71.36,,57.26,,67.73,,69.74,,64.71,,74.9,,
Germany - Oberliga Mittelrhein,,,,,,,,,,,,,,,,,,,,,55.56,,55.77,,68.95,,64.17,,61.43,,67.91,,
Germany - Oberliga Niederrhein,,,,,,,,,,,,,,,,,,,,,66.5,,71.7,,69.17,,65.0,,62.87,,63.29,,
Germany - Oberliga Niedersachsen,,,,,,,,,,,,,,,,,,,,,73.47,,58.54,,68.33,,66.34,,63.07,,59.05,,
Germany - Oberliga Nordost-Nord,,,,,,,,,,,,,,,,,,,,,65.1,,73.33,,60.34,,61.44,,70.48,,73.72,,
Germany - Oberliga Nordost-Süd,,,,,,,,,,,,,,,,,,,,,71.43,,58.75,,62.37,,56.54,,65.83,,70.51,,
Germany - Oberliga Rheinland-Pfalz / Saar,,,,,,,,,,,,,,,,,,,,,64.36,,62.0,,71.59,,65.0,,70.53,,75.76,,
Germany - Oberliga Schleswig-Holstein,,,,,,,,,,,,,,,,,,,,,80.65,,66.67,,75.59,,75.0,,75.0,,75.58,,
Germany - Oberliga Westfalen,,,,,,,,,,,,,,,,,,,,,63.19,,68.97,,64.29,,62.75,,67.65,,68.3,,
Germany - Play-off,,,,,,,,,,,,,,,,,,,,,50.0,,100.0,,0.0,,100.0,,100.0,,,,
Germany - Regionalliga,,,,,,,,,,,,,,,,,,,,,50.0,,0.0,,50.0,,50.0,,50.0,,,,
Germany - Regionalliga Bayern,,,,,,,53.68,,62.57,,52.61,,52.94,,60.46,,61.4,,56.21,,60.29,,,,61.32,,60.53,,59.15,,55.71,,
Germany - Regionalliga Nord,,,52.94,,51.63,,65.0,,57.84,,57.52,,52.61,,50.65,,54.58,,55.23,,63.98,,59.18,,60.5,,64.04,,60.46,,59.19,,
Germany - Regionalliga Nordost,,,,,,,48.75,,58.75,,54.17,,54.25,,53.27,,52.29,,53.92,,55.77,,59.5,,55.53,,56.86,,55.88,,53.42,,
Germany - Regionalliga Südwest,,,52.92,,58.17,,52.05,,51.63,,50.0,,53.92,,51.17,,57.02,,55.23,,58.62,,56.28,,51.75,,55.56,,60.78,,57.41,,
Germany - Regionalliga West,,,50.0,,54.09,,54.21,,54.09,,52.29,,52.92,,55.56,,57.84,,52.29,,56.44,,48.1,,49.47,,65.03,,58.5,,52.17,,
Germany - Super Cup,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,100.0,,100.0,,,
Ghana - Premier League,,,,,,,,,32.92,,,34.58,,29.58,,37.92,,29.31,,,35.34,,34.64,,30.72,,35.62,,33.66,,23.4,,
Greece - Beta Ethniki Notios,,,,,,,,,39.01,,44.23,,,,,,,,,,,,,,,,,,,,,,
Greece - Beta Ethniki Voreios,,,,,,,,,39.56,,27.56,,,,,,,,,,,,,,,,,,,,,,
Greece - Play-off,,,,,,,,,,,,,,,,,,,,,50.0,,50.0,,50.0,,,,,,,,
Greece - Super League,44.17,,37.5,,35.83,,40.0,,46.08,,50.0,,39.58,,40.42,,37.5,,41.67,,46.15,,40.66,,46.15,,39.56,,60.44,,46.15,,
Greece - Super League 2,,,37.25,,41.64,,30.48,,,,,,41.18,,45.76,,49.01,,38.91,,52.5,,30.3,,41.18,,43.88,,39.39,,42.78,,
Hungary - Nemzeti Bajnokság I,56.25,,60.42,,47.08,,50.42,,49.58,,46.25,,45.45,,47.98,,55.56,,48.99,,49.49,,62.63,,57.07,,51.01,,60.1,,55.56,,
Iceland - Úrvalsdeild Karla,,68.18,,58.33,,59.09,,60.61,,53.03,,50.76,,52.27,,62.88,,56.82,,57.58,,62.62,,54.55,,70.45,,62.88,,62.88,,,
India - I League,,,,,,,,,50.0,,40.0,,44.44,,,47.78,38.89,,53.21,,45.98,,43.64,,48.72,,50.76,,61.04,,55.36,,
India - Indian Super League,,,,,,,,,,41.07,,53.57,,35.71,,,50.0,,50.0,,58.89,,45.45,,59.09,,59.09,,53.79,,57.05,,
Indonesia - ISC A,,,,,,,,,,,,,,49.84,,,,,,,,,,,,,,,,,,,
Indonesia - Premier League,,,50.48,,50.76,,,62.09,,,,,,,,,,,,,,,,,,,,,,,,,
Indonesia - Super Liga,,,,,,,,,,53.18,,,,,,54.25,,53.27,,48.37,,50.0,,45.75,,,52.29,,56.54,,47.93,,
Iran - Premier League,,,42.48,,43.14,,39.54,,36.67,,40.0,,33.33,,37.08,,37.92,,33.75,,34.17,,30.83,,27.92,,31.67,,35.0,,28.02,,
Ireland - First Division,,,,52.12,,52.68,,52.68,,47.32,,50.0,,60.71,,42.86,,54.07,,54.48,,52.22,,54.81,,60.42,,57.78,,47.78,,43.48,
Ireland - Play-off,,,,,,,,,,,,,,,,,,,,,,,,50.0,,83.33,,40.0,,100.0,,,
Ireland - Premier League,,50.56,,52.78,,51.52,,50.51,,46.46,,50.51,,45.18,,53.03,,55.0,,43.33,,35.56,,47.22,,47.78,,48.89,,41.67,,44.83,
Israel - Liga Leumit,,,,,,,,,46.25,,42.92,,46.67,,42.5,,39.17,,42.5,,45.42,,33.75,,41.67,,41.67,,48.33,,50.0,,
Israel - Ligat Al,49.58,,47.08,,44.58,,48.9,,45.6,,43.96,,37.91,,34.62,,46.15,,42.31,,46.15,,39.56,,42.86,,43.96,,45.6,,51.1,,
Israel - Play-off,,,,,,,,,,,,,,,,,,,,,50.0,,0.0,,100.0,,0.0,,0.0,,,,
Italy - Coppa Italia,,,,,,,,,55.56,,61.11,,44.44,,77.78,,61.11,,22.22,,44.44,,77.78,,66.67,,64.44,,68.89,,62.5,,
Italy - Serie A,48.95,,45.26,,46.84,,47.89,,49.21,,50.53,,47.37,,58.16,,52.11,,51.84,,62.89,,56.84,,55.79,,45.53,,49.21,,50.69,,
Italy - Serie B,47.4,,41.34,,46.97,,45.02,,43.72,,40.69,,47.19,,37.01,,46.75,,46.78,,43.95,,44.21,,41.58,,40.79,,48.68,,44.0,,
Italy - Serie C,,,,,,,,,,,,,,,,,,,,,50.0,,50.0,,20.0,,25.0,,37.5,,,,
Italy - Serie C - Girone A,,,,,,,45.59,,41.25,,35.79,,38.89,,45.79,,40.94,,41.55,,41.2,,40.26,,37.89,,40.79,,38.16,,38.75,,
Italy - Serie C - Girone B,,,,,,,45.42,,48.16,,39.47,,37.58,,33.16,,37.25,,30.53,,41.2,,43.95,,45.79,,41.32,,42.89,,44.38,,
Italy - Serie C - Girone C,,,,,,,,,,,40.79,,40.2,,42.37,,39.18,,42.98,,41.0,,39.18,,42.4,,43.68,,43.42,,42.25,,
Italy - Serie C2 - Girone A,,,,,,,50.0,,48.37,,,,,,,,,,,,,,,,,,,,,,,,
Italy - Serie C2 - Girone B,,,,,,,38.89,,39.22,,,,,,,,,,,,,,,,,,,,,,,,
Italy - Super Cup,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,100.0,,,,,
Japan - J League,,51.96,,54.58,,51.63,,54.58,,46.73,,47.71,,45.1,,47.71,,50.65,,46.08,,54.25,,43.42,,45.1,,48.04,,49.74,,32.76,
